Texts,Languages
పిల్లి మోపుపై కూర్చుంది.,Telugu
నేను పుస్తకాలు చదవడం ఇష్టం.,Telugu
తను మార్కెట్లో కూరగాయలు కొనుగోలు చేశాడు.,Telugu
సూర్యుడు తూర్పున ఉదయించి పడమట్లో అస్తమిస్తాడు.,Telugu
ఈరోజు వాతావరణం చాలా చల్లగా ఉంది.,Telugu
వారం రోజుల తర్వాత సెలవులు మొదలవుతాయి.,Telugu
నా ప్రియమైన ఆహారం పులిహోర.,Telugu
అతను అద్దెకు తీసుకున్న వాహనం చీకట్లో నడిపాడు.,Telugu
ఆమె పాటలు పాడడంలో ఎంతో ప్రతిభావంతురాలు.,Telugu
పిల్లలు పార్క్‌లో ఆడుకుంటున్నారు.,Telugu
టీచర్ బాగా పాఠాలు చెప్పింది.,Telugu
నా స్నేహితుడు కొత్త కంప్యూటర్ కొనుగోలు చేశాడు.,Telugu
సాయంత్రం నడకకు వెళ్లాను.,Telugu
మా బలcony నుండి సముద్రం అందంగా కనిపిస్తుంది.,Telugu
ఇవాళ నా స్నేహితుడితో విందుకు వెళ్లాను.,Telugu
అతను పాటలు వింటూ పుస్తకాలు చదివాడు.,Telugu
నిన్నటి సినిమా చాలా బాగుంది.,Telugu
మన వూరి దగ్గర కొత్త మాల్ కట్టారు.,Telugu
ఈ వారం ఆదివారం కుటుంబంతో గడిపాను.,Telugu
నా స్నేహితుడు కొత్త బైక్ కొన్నాడు.,Telugu
ఈ నెలాఖరులో పర్యటనకు వెళ్ళాలని ప్లాన్ చేస్తున్నాం.,Telugu
ఈ సారి పండగను మా ఇంట్లో జరుపుకోబోతున్నాం.,Telugu
నేను కళాశాలలో కొత్త కోర్సు జాయిన్ అయ్యాను.,Telugu
సముద్రతీరంలో సాయంత్రం చాలా ఆనందంగా గడిచింది.,Telugu
వర్షం కురిసి వాతావరణం చల్లబడింది.,Telugu
నా చెల్లికి పుట్టినరోజు సందర్భంగా కేక్ కట్టాను.,Telugu
నేను గత వారం ఇంగ్లీష్ కోచింగ్ క్లాసులు జాయిన్ అయ్యాను.,Telugu
నేను ఎప్పటికీ వాకింగ్ చేయడాన్ని ఇష్టపడతాను.,Telugu
నా స్నేహితుడి పేరు శ్రీధర్.,Telugu
ఈరోజు రాత్రి విందులో అందరూ పాల్గొన్నారు.,Telugu
ఆ స్కూల్ లో మా చెల్లి మొదటి ర్యాంక్ సాధించింది.,Telugu
అతను ఫుట్‌బాల్‌లో చక్కగా ఆడతాడు.,Telugu
ఆ సినిమా నిన్న రిలీజ్ అయ్యింది.,Telugu
ఈ సంవత్సరం పండగలను మా ఊరిలో జరుపుకోవాలనుకుంటున్నాం.,Telugu
నా అన్నయ్య మాకు కొత్త బట్టలు కొనుగోలు చేశాడు.,Telugu
నేను గతవారం దుస్తులు కొనుగోలు చేయడానికి వెళ్లాను.,Telugu
ఈ నెలలో మా ఇంట్లో పండగ ఉంది.,Telugu
మా ఆవిడను బహుమతిగా కొత్త ఫోన్ తీసుకున్నాను.,Telugu
తన చదువులో చాలా కష్టపడి మంచి మార్కులు సాధించింది.,Telugu
మా ఇంట్లో కొత్త పెయింటింగ్ పెట్టాము.,Telugu
మా పక్కింటి వాళ్ళు పర్యటనకు వెళ్ళారు.,Telugu
ఈ ఆదివారం నా స్నేహితులన్నీ కలిసి రిసార్ట్ కి వెళ్ళారు.,Telugu
నా స్నేహితుడు కొత్త ఉద్యోగంలో చేరాడు.,Telugu
రేపు మా ఇంట్లో అన్నయ్య పుట్టినరోజు.,Telugu
ఈ సాయంత్రం రోడ్డు ప్రమాదం జరిగింది.,Telugu
వర్షం కురవడం వల్ల బయట ఆడుకోలేకపోయారు.,Telugu
అతను ఎప్పుడూ మంచిగా మాట్లాడతాడు.,Telugu
మా ఇంటి దగ్గర కొత్త మసక దీపాలు పెట్టాము.,Telugu
మా ఊరిలో ఈరోజు కొత్త రోడ్డు ప్రారంభించారు.,Telugu
అతను సెలవులు తీసుకుని ఊరికి వెళ్ళాడు.,Telugu
పండగ రోజు మా ఇంట్లో అన్నీ ప్రత్యేక వంటలు చేసాము.,Telugu
నేను ప్రతి రోజూ నా బస్సు టిక్కెట్ పొందుతాను.,Telugu
వాతావరణం కాస్త చల్లగా ఉంది.,Telugu
మా ఊరిలో కొత్త సినిమా థియేటర్ ప్రారంభమైంది.,Telugu
అతను చాలా నిద్ర లేనట్లుగా కనబడుతున్నాడు.,Telugu
మేము రేపు కొత్త ప్రాజెక్ట్ ప్రారంభించబోతున్నాం.,Telugu
ఈ సంవత్సరం మా ఊరిలో కరువు వచ్చింది.,Telugu
మా అమ్మకు ఈ రోజు కొత్త చీర కొనుగోలు చేశాను.,Telugu
అతను ఎప్పుడూ నాకు మంచి సలహాలు ఇస్తాడు.,Telugu
రాత్రి పూట మేఘాలు చాలావరకు కప్పుకుని ఉన్నాయి.,Telugu
నా పిన్నకి మంగళవారం పరీక్ష ఉంది.,Telugu
ఈ వారం మా ఇంట్లో ఒక ప్రత్యేక కార్యక్రమం ఉంది.,Telugu
నిన్న నాకు కొత్త బ్యాగ్ తీసుకొచ్చారు.,Telugu
ఈ నెలలో మా ఊరిలో చాలా పండగలు జరుగుతున్నాయి.,Telugu
అతను తన పనుల్లో పూర్తిగా బిజీగా ఉన్నాడు.,Telugu
మా ఇంటి ముందు కొత్త తోట ఏర్పాటు చేసాము.,Telugu
నిన్న మా ఊరిలో విద్యుత్ సమస్యలు తలెత్తాయి.,Telugu
ప్రతి వారం మా దగ్గర శుభ్రత కార్యక్రమాలు నిర్వహిస్తారు.,Telugu
నిన్న మా ఇంట్లో టీవీ కొంచెం తక్కువ వచ్చింది.,Telugu
పిల్లలు బయట ఆడుకుంటున్నారు.,Telugu
నా స్నేహితుడు ఎల్లప్పుడూ సాయపడతాడు.,Telugu
అతను ఎప్పుడూ పాటలు పాడుతూ ఆనందంగా ఉంటాడు.,Telugu
ఈ వారం మా కాలేజీ లో కొత్త ఫిల్మ్ ప్రదర్శన ఉంది.,Telugu
మా ఊరిలో ఈ రోజు భారీ వర్షం పడింది.,Telugu
రేపు మా పక్కింటి అమ్మాయి వివాహం జరగబోతుంది.,Telugu
అతను తన ఫైనల్ ఎగ్జామ్ కు బాగా సిద్ధమయ్యాడు.,Telugu
ఈ రోజు వంటల పోటీ ఉంది.,Telugu
మా ఇంట్లో నిన్న రాత్రి కరెంటు సమస్యలు వచ్చాయి.,Telugu
ఈ వారం మా ఊరిలో పండగలో భాగంగా కార్యక్రమాలు ఉన్నాయి.,Telugu
మా చెల్లెలికి నిన్నటి రోజు పుట్టినరోజు సంబరాలు జరిగాయి.,Telugu
నాకు కొత్త బట్టలు తెప్పించారు.,Telugu
వాన పడ్డ కారణంగా రోడ్లు తడిసి ముద్దయ్యాయి.,Telugu
ఈ సాయంత్రం మా పక్కింటి వారు విందుకు ఆహ్వానించారు.,Telugu
నేను ప్రతి రోజు స్కూలు బస్సులో ప్రయాణిస్తాను.,Telugu
మా ఇంట్లో విందు జరిగింది.,Telugu
ఈ సాయంత్రం పిల్లలు ఒక కొత్త ఆట ఆడారు.,Telugu
మా ఊరిలో ప్రతి పండగ ప్రత్యేకంగా జరుపుకుంటారు.,Telugu
నా స్నేహితుడు ఆ ఉద్యోగంలో చేరాడు.,Telugu
మా ఇంటి పక్కనే ఉన్న పాఠశాలలో అన్నయ్య చదువుతున్నాడు.,Telugu
వాతావరణం చల్లగా మారింది.,Telugu
ఈ రోజు సాయంత్రం ఓపెనింగ్ వేడుక ఉంది.,Telugu
నేను ప్రతి వారం సినిమాలు చూడడానికి వెళ్ళతాను.,Telugu
అతను చాలా బాగా మాట్లాడతాడు.,Telugu
మా ఊరిలో శుభ్రత కార్యక్రమాలు జరుగుతున్నాయి.,Telugu
నా స్నేహితుడు ఈ రోజు నా కోసం విందు ఏర్పాటు చేశాడు.,Telugu
ప్రతి సాయంత్రం నేను వాకింగ్ చేయడానికి వెళ్ళుతాను.,Telugu
మా ఇంటి దగ్గర కొత్త వంటగది నిర్మించారు.,Telugu
ఈ రోజు సాయంత్రం మా ఫ్రెండ్ కొత్త బైక్ కొనుగోలు చేశాడు.,Telugu
మా ఊరిలో ప్రతి సంవత్సరం ఉత్సవాలు బాగా జరుగుతాయి.,Telugu
అతను నిన్నటి రాత్రి చాలా ఆలస్యంగా ఇంటికి చేరాడు.,Telugu
The garden is full of colorful flowers in the spring.,English
She is learning how to speak French.,English
He wrote a poem about love and friendship.,English
The hotel offers stunning views of the ocean.,English
She received an award for her outstanding performance.,English
He is passionate about photography and nature.,English
The weather forecast predicts rain tomorrow.,English
She loves to cook and try out new recipes.,English
The library is a quiet place to study and read.,English
He went to the gym to work out.,English
They celebrated their anniversary at a fancy restaurant.,English
The baby was sleeping peacefully in the crib.,English
She is organizing a surprise party for her friend.,English
He fixed the broken bike in no time.,English
The class is learning about the solar system.,English
She is an excellent dancer and enjoys performing on stage.,English
The traffic was heavy on the way to the airport.,English
He is always willing to help others in need.,English
The flowers smell wonderful in the spring.,English
She painted a beautiful landscape of the countryside.,English
He enjoys playing video games in his spare time.,English
The teacher gave a pop quiz on the material.,English
She is learning how to bake bread from scratch.,English
They went hiking in the mountains last weekend.,English
The garden is full of butterflies in the summer.,English
He is taking a photography class to improve his skills.,English
The lake is calm and peaceful in the early morning.,English
She loves to listen to classical music while studying.,English
He built a treehouse in the backyard for his kids.,English
The new restaurant in town is very popular.,English
She is preparing for a big presentation at work.,English
He enjoys camping with his family in the woods.,English
The car is parked in front of the house.,English
She is learning to play the piano in her free time.,English
The project is going smoothly so far.,English
He is working on a new painting for the art gallery.,English
The bakery sells fresh bread every morning.,English
She loves spending time with her family on weekends.,English
The team is practicing for the upcoming tournament.,English
He is studying hard to pass his exams.,English
"The cake was delicious, and everyone loved it.",English
She is planning a surprise trip for her parents.,English
He enjoys watching documentaries about nature.,English
The library has a wide selection of books.,English
She is a talented writer and enjoys writing short stories.,English
The park is a great place to relax and unwind.,English
He is training for a marathon next month.,English
The restaurant offers a variety of vegetarian dishes.,English
She enjoys going to the gym to stay in shape.,English
The weather is sunny and warm today.,English
He is learning to play the drums in his free time.,English
The children are excited about their school trip.,English
She is decorating her house for the holidays.,English
He is building a model airplane as a hobby.,English
"The concert was sold out, and the crowd was thrilled.",English
She is working on a new novel about adventure.,English
The museum is hosting a special exhibition this month.,English
He is volunteering at the local animal shelter.,English
The class is studying the history of ancient Egypt.,English
She loves to paint portraits of her friends and family.,English
The river flows gently through the valley.,English
He is planning to visit his grandparents this weekend.,English
The city is full of life and energy during the day.,English
She enjoys gardening and growing her own vegetables.,English
He is learning how to play chess from his father.,English
The hotel has a rooftop pool with a view of the city.,English
She is preparing for her final exams next week.,English
The park is crowded with people enjoying the sunshine.,English
He is designing a new website for his company.,English
The movie was so funny that I couldn’t stop laughing.,English
She is working as a part-time teacher at a local school.,English
The bakery is known for its delicious pastries.,English
He is interested in learning about different cultures.,English
The garden is full of colorful flowers in the springtime.,English
She is planning to attend a conference in New York.,English
The students are excited about the upcoming field trip.,English
He enjoys spending time outdoors and exploring nature.,English
The hotel offers excellent service and comfortable rooms.,English
She is taking a dance class to learn salsa.,English
The restaurant is famous for its seafood dishes.,English
He is working on a research project for his class.,English
The flowers in the park are in full bloom.,English
She enjoys reading books about history and science.,English
The beach is a perfect place to relax and unwind.,English
He is practicing his speech for the presentation.,English
The city is known for its beautiful architecture.,English
She is preparing a special dinner for her family.,English
The team is training hard for the championship game.,English
He is learning how to cook traditional Indian dishes.,English
The library is a quiet place to focus on studies.,English
She is taking a photography class at the community center.,English
The bakery is famous for its homemade bread.,English
He enjoys playing basketball with his friends.,English
The park is a great place for a family picnic.,English
She is learning to speak Spanish in her free time.,English
"The concert was a huge hit, and the band played amazingly.",English
He is working on a new app for his business.,English
The restaurant serves a wide range of international dishes.,English
She loves hiking in the mountains during the summer.,English
The children are excited about their upcoming vacation.,English
He is building a model ship in his garage.,English
The weather is perfect for a day at the beach.,English
She enjoys painting landscapes and seascapes.,English
The bakery sells the best croissants in town.,English
He is learning how to play the violin from his teacher.,English
The city is vibrant and full of cultural events.,English
She is organizing a charity event for the local shelter.,English
The team is preparing for the final match of the season.,English
He is designing a new logo for his company's website.,English
The garden is a peaceful place to relax and enjoy nature.,English
She is studying biology and hopes to become a doctor.,English
The library has a wide variety of resources for students.,English
He enjoys fishing at the lake with his father.,English
The movie was a box office success and received great reviews.,English
She is planning to travel to Europe next summer.,English
The restaurant offers a wide selection of desserts.,English
He is practicing his guitar for the school talent show.,English
The park is a popular spot for joggers and cyclists.,English
She loves baking cakes and decorating them creatively.,English
The bakery has a cozy atmosphere and friendly staff.,English
He is working on a science project about renewable energy.,English
The weather is getting colder as winter approaches.,English
She is learning to play the flute in her music class.,English
The city is famous for its annual music festival.,English
He enjoys watching wildlife documentaries on TV.,English
The museum has an interactive exhibit on dinosaurs.,English
She is volunteering at a local food bank to help the community.,English
The garden is full of blooming roses in the summer.,English
He is taking an online course to improve his coding skills.,English
The concert was a memorable experience for everyone.,English
She is planning a weekend getaway with her friends.,English
The restaurant serves authentic Mexican food.,English
He is learning how to build websites from scratch.,English
The beach is crowded with tourists during the holiday season.,English
She loves to paint and often creates abstract art.,English
The bakery offers a wide variety of cakes and pastries.,English
He is practicing his soccer skills for the upcoming game.,English
The park is a peaceful place to read a book.,English
She enjoys spending time with her family and friends.,English
The weather is perfect for a barbecue in the backyard.,English
He is working on a new invention for a science competition.,English
The garden is full of butterflies and bees in the spring.,English
She is studying for her final exams and feels prepared.,English
The library is a great place to find information for research.,English
He enjoys going on road trips with his friends.,English
The movie was so good that I watched it twice.,English
She is preparing for a big interview at a tech company.,English
The team is confident about their chances in the tournament.,English
He is learning how to code in Python.,English
The restaurant has a cozy ambiance and excellent service.,English
बिल्लियाँ चूहे पकड़ती हैं।,Hindi
आज मौसम बहुत अच्छा है।,Hindi
उसने मुझे किताब दी।,Hindi
मैं स्कूल जा रहा हूँ।,Hindi
क्या तुम मेरे साथ चलोगे?,Hindi
मुझे संगीत सुनना पसंद है।,Hindi
वह बहुत अच्छा नृत्य करता है।,Hindi
क्या तुमने अपना होमवर्क कर लिया?,Hindi
आज मैंने एक नया दोस्त बनाया।,Hindi
वह अपनी परीक्षा की तैयारी कर रही है।,Hindi
"बारिश हो रही है, छतरी ले लो।",Hindi
हम कल पिकनिक पर जा रहे हैं।,Hindi
मुझे मिठाइयाँ बहुत पसंद हैं।,Hindi
क्या तुमने फिल्म देखी?,Hindi
सूरज पूर्व में उगता है।,Hindi
वह बाजार से सब्जी खरीदने गया था।,Hindi
इस साल की गर्मियाँ बहुत गर्म हैं।,Hindi
मैंने आज नया फोन खरीदा।,Hindi
क्या तुमने अपना खाना खा लिया?,Hindi
हमें मिलकर काम करना चाहिए।,Hindi
मैंने कल रात एक सपना देखा।,Hindi
वह बहुत सुंदर गाती है।,Hindi
क्या तुमने उस किताब को पढ़ा?,Hindi
हम स्कूल की छुट्टी के बाद पार्क में मिलेंगे।,Hindi
उसने मुझे मेरी पसंदीदा चॉकलेट दी।,Hindi
क्या तुमने अपना प्रोजेक्ट पूरा किया?,Hindi
वह जल्दी सो जाती है।,Hindi
मैंने अपने दोस्त को फोन किया।,Hindi
यह फिल्म बहुत मजेदार थी।,Hindi
क्या तुम कल स्कूल आओगे?,Hindi
उसने मुझे एक प्यारा तोहफा दिया।,Hindi
क्या तुम चाय पीना चाहोगे?,Hindi
हमें अपनी सेहत का ध्यान रखना चाहिए।,Hindi
वह हर दिन व्यायाम करता है।,Hindi
मैंने कल एक अच्छी पुस्तक पढ़ी।,Hindi
क्या तुमने नाश्ता कर लिया?,Hindi
स्कूल की घंटी बज चुकी है।,Hindi
मुझे सर्दियों का मौसम बहुत पसंद है।,Hindi
क्या तुम खेलना चाहते हो?,Hindi
मैंने अपने भाई के लिए एक उपहार खरीदा।,Hindi
वह अपनी माँ की बहुत मदद करती है।,Hindi
क्या तुम कल मेरे साथ बाजार चलोगे?,Hindi
उसने अपना सारा काम समय पर पूरा कर लिया।,Hindi
हमें स्वच्छता का ध्यान रखना चाहिए।,Hindi
आज मुझे बहुत काम करना है।,Hindi
हम अगले महीने छुट्टी पर जा रहे हैं।,Hindi
यह शहर बहुत सुंदर है।,Hindi
क्या तुमने अपनी किताबें सहेज लीं?,Hindi
वह रोज सुबह टहलने जाती है।,Hindi
मैंने अपना होमवर्क पूरा कर लिया है।,Hindi
क्या तुमने नया गाना सुना?,Hindi
कल हम पिकनिक पर जाएंगे।,Hindi
वह बहुत होशियार लड़का है।,Hindi
मैंने आज एक नई कार खरीदी।,Hindi
क्या तुमने अपना काम खत्म कर लिया?,Hindi
बारिश के बाद मौसम बहुत सुहाना हो गया।,Hindi
उसने मुझे सिखाया कि कैसे खाना बनाते हैं।,Hindi
मुझे सर्दियों में चाय पीना अच्छा लगता है।,Hindi
क्या तुमने परीक्षा की तैयारी कर ली?,Hindi
वह अपने दोस्तों के साथ खेल रहा है।,Hindi
मैंने उसे उसकी गलती के बारे में बताया।,Hindi
क्या तुम मेरे साथ सिनेमा चलोगे?,Hindi
उसने मेरे लिए एक कविता लिखी।,Hindi
क्या तुमने आज सुबह का समाचार देखा?,Hindi
मुझे गाना गाना बहुत पसंद है।,Hindi
वह रोज साइकिल चलाता है।,Hindi
क्या तुमने इस सप्ताहांत की योजना बनाई?,Hindi
हमने कल रात एक फिल्म देखी।,Hindi
मुझे किताबें पढ़ना बहुत पसंद है।,Hindi
क्या तुमने अपना घर साफ कर लिया?,Hindi
वह अपनी बहन से बहुत प्यार करता है।,Hindi
हमने आज सुबह योग किया।,Hindi
मुझे फूल बहुत पसंद हैं।,Hindi
क्या तुमने अपना काम पूरा किया?,Hindi
वह रोज़ स्कूल जाती है।,Hindi
मैंने आज एक नई घड़ी खरीदी।,Hindi
क्या तुमने नाश्ता कर लिया?,Hindi
वह बहुत अच्छी तरह से लिखती है।,Hindi
मैंने आज बाजार से सब्जी खरीदी।,Hindi
क्या तुमने अपनी कार धो ली?,Hindi
हमें हर दिन व्यायाम करना चाहिए।,Hindi
वह अपनी पढ़ाई में बहुत अच्छा है।,Hindi
क्या तुमने अपना लंच खा लिया?,Hindi
उसने अपनी माँ के लिए एक सुंदर चित्र बनाया।,Hindi
मुझे सुबह-सुबह टहलना पसंद है।,Hindi
क्या तुमने अपना प्रोजेक्ट जमा कर दिया?,Hindi
वह हमेशा समय पर स्कूल जाती है।,Hindi
मैंने आज एक नया बैग खरीदा।,Hindi
क्या तुमने अपना फोन चार्ज कर लिया?,Hindi
उसने मुझे एक सुंदर कार्ड भेजा।,Hindi
क्या तुमने अपनी नोटबुक सहेज ली?,Hindi
हमें मिलकर इस काम को पूरा करना होगा।,Hindi
वह रोज़ सुबह उठकर योग करती है।,Hindi
मैंने आज एक नई किताब पढ़नी शुरू की।,Hindi
क्या तुमने आज का अखबार पढ़ा?,Hindi
वह रोज़ स्कूल से जल्दी आती है।,Hindi
मैंने उसे एक प्यारा सा तोहफा दिया।,Hindi
क्या तुमने अपना कमरा साफ कर लिया?,Hindi
उसने मेरे लिए एक गाना गाया।,Hindi
हमें रोज़ अपनी सेहत का ख्याल रखना चाहिए।,Hindi
उसने अपनी परीक्षा बहुत अच्छे से दी।,Hindi
क्या तुमने अपने जूते पहन लिए?,Hindi
मैंने आज एक नई साइकिल खरीदी।,Hindi
क्या तुमने अपना बस्ता तैयार कर लिया?,Hindi
उसने मेरे लिए एक पत्र लिखा।,Hindi
मुझे बागवानी करना पसंद है।,Hindi
क्या तुमने अपना होमवर्क पूरा किया?,Hindi
वह हर दिन अपने दोस्तों से मिलने जाती है।,Hindi
मैंने आज सुबह योग किया।,Hindi
क्या तुमने अपनी परीक्षा की तैयारी कर ली?,Hindi
उसने मुझे अपनी कहानी सुनाई।,Hindi
मुझे गाने सुनना बहुत पसंद है।,Hindi
क्या तुमने अपना नाश्ता खत्म किया?,Hindi
उसने मुझे नई किताबों के बारे में बताया।,Hindi
क्या तुमने अपने कपड़े धो लिए?,Hindi
उसने मेरे लिए एक सुंदर कविता लिखी।,Hindi
क्या तुमने आज का समाचार देखा?,Hindi
मैंने अपनी दोस्त को फोन किया।,Hindi
वह रोज सुबह जल्दी उठती है।,Hindi
क्या तुमने अपना स्कूल बैग तैयार कर लिया?,Hindi
उसने अपने पिता के साथ बाजार जाकर सामान खरीदा।,Hindi
मुझे गर्मियों की छुट्टियाँ बहुत पसंद हैं।,Hindi
क्या तुमने अपनी माँ से बात की?,Hindi
वह बहुत अच्छी पेंटिंग बनाती है।,Hindi
मैंने आज एक नई किताब खरीदी।,Hindi
मुझे खेलों में बहुत रुचि है।,Hindi
वह रोज़ शाम को दौड़ने जाती है।,Hindi
क्या तुमने अपने दोस्त से बात की?,Hindi
मैंने आज सुबह नाश्ते में पराठे खाए।,Hindi
उसने अपनी बहन को एक सुंदर उपहार दिया।,Hindi
आज रात हम बाहर खाने जाएंगे।,Hindi
क्या तुमने अपने जूते पहन लिए?,Hindi
